NAME,PER,MASS,SEP,DIST,MSTAR,RSTAR,TEFF,FE
Kepler-107 d,7.958203,0.00371234,0.0780099,,,1.411,5851,
Kepler-1049 b,3.27346074,0.00245309,0.0344721,129,0.51,0.49,3864,-0.33
Kepler-813 b,19.12947337,0.0159697,0.13761,840,0.95,0.93,5743,-0.13
Kepler-427 b,10.290994,0.29,0.091351,1100,0.96,1.35,5800,-0.19
Kepler-1056 b,27.495606,0.0271261,0.185149,971,1.12,1.2,6127,0.02
Kepler-1165 b,9.478522,0.0115843,0.0912977,1081,1.13,1.18,6080,0.05
Kepler-1104 b,5.03728015,0.00609283,0.0627651,516,1.3,1.41,6417,0.13
WASP-14 b,2.243752,7.69234,0.0367693,160,1.31,1.31,6475,0
Kepler-50 b,7.8125124,0.0164915,0.0825598,,1.23,1.88,6058,
NN Ser d,2605,0.642621,3.70596,,,,,
Kepler-1279 b,23.4774101,0.0129028,0.170989,1017,1.21,1.33,6221,0.06
Kepler-1599 b,122.363553,0.0120821,0.48075,1004,0.99,0.99,5767,0.02
Kepler-20 b,3.6961219,0.0266646,0.0453704,290,0.912,0.944,5466,0.02
HAT-P-27 b,3.039577,0.617485,0.0399488,204,0.92,0.87,5190,0.14
Kepler-181 b,3.137873,0.00674351,0.0419466,,,0.749,5333,
HD 116029 b,670,1.9075,1.64869,123.198,1.33,5.04235,4811,0.08
Kepler-207 b,1.611865,0.0117295,0.0269045,,,1.588,5920,
Kepler-1156 b,11.89520511,0.00774372,0.101981,759,1,1,5778,0.02
Kepler-1512 b,20.35972599,0.00518721,0.13139,162,0.73,0.67,4372,0.2
Kepler-787 b,0.9283105,0.00688654,0.0161327,468,0.65,0.62,4248,-0.09
Kepler-528 b,19.78297415,0.0154788,0.143629,711,1.01,1.06,5807,0.02
HD 219828 b,3.8334999,0.0622185,0.0515012,72.3066,1.24,1.4682,5891,0.19
Kepler-480 b,4.9195838,0.0233514,0.0609811,806,1.25,1.34,6322,0.11
Kepler-1567 b,153.979578,0.0227057,0.5527,1226,0.95,0.93,5655,-0.03
Kepler-1390 b,6.48021673,0.00518721,0.0675681,760,0.98,0.98,5753,-0.01
Kepler-1642 b,12.2057513,0.0304768,0.0994208,447,0.88,0.84,5355,-0.01
Kepler-11 c,13.0241,0.00912437,0.106909,,0.961,1.065,5663,0.0182
Kepler-871 b,22.0459018,0.0437521,0.159318,1695,1.11,1.14,5993,0.09
Kepler-1131 b,3.53232449,0.0118667,0.0458416,1109,1.03,1.04,5851,0.05
Kepler-705 b,56.0560538,0.0156727,0.231978,251,0.53,0.51,3722,0.07
HD 1237 b,133.71001,3.3748,0.494668,17.4978,0.9,0.858011,5536,0.12
WASP-21 b,4.322482,0.300272,0.0521087,242.131,1.01,1.06,5800,-0.46
Kepler-284 c,37.514456,0.0210192,0.219317,,,0.814,5615,
Kepler-186 c,7.267302,0.00636705,0.0574114,151,0.478,0.472,3788,-0.28
HD 4308 b,15.56,0.0477376,0.119192,22.0556,0.933,0.82259,5695,-0.31
Kepler-239 b,11.763051,0.0177874,0.101225,,,0.763,4914,
Kepler-651 b,21.38521506,0.0181548,0.146649,537,0.92,0.87,5522,-0.04
Kepler-80 f,0.98678706,0.00609283,0.017386,0,0.72,0.64,4613,-0.562
Kepler-1217 b,2.03232507,0.0147338,0.0320163,1363,1.06,1.08,5905,0.07
Kepler-895 b,2.80624233,0.0115145,0.0337283,516,0.65,0.61,4315,-0.16
Kepler-628 b,15.4580567,0.243389,0.121444,579,1,1.28,5721,0.04
Kepler-174 b,13.98179,0.014454,0.113583,,,0.622,4880,
Kepler-440 b,101.11141,0.0136945,0.353207,261,0.575,0.559,4134,-0.3
Kepler-403 d,13.61159129,0.00991268,0,0,0,1.33,6090,-0.145
Kepler-224 d,11.349393,0.0174811,0.0988375,,,0.676,5018,
Kepler-389 c,14.51143,0.0107805,0.116434,,,0.792,5376,
Kepler-674 b,2.24338185,0.0125233,0.0282874,302,0.6,0.57,4192,-0.27
Kepler-1047 c,3.18897601,0.00277643,0.0435026,566,1.08,1.13,5754,0.29
Kepler-1247 b,13.71220213,0.0178026,0.106621,1094,0.86,0.82,5303,-0.05
Kepler-1210 b,8.07124073,0.0125983,0.0771394,1155,0.94,0.92,5568,0.04
Kepler-254 c,12.412183,0.0160511,0.104915,,,0.91,5957,
Kepler-236 c,23.968127,0.0147725,0.162691,,,0.51,3750,
WASP-25 b,3.764825,0.57847,0.0473714,,1,0.92,5750,-0.05
Kepler-186 d,13.342996,0.00934866,0.0860831,151,0.478,0.472,3788,-0.28
Kepler-1646 b,4.48558383,0.00609283,0.0330793,81,0.24,0.26,3299,0.04
HD 24040 b,3668,4.02189,4.92406,46.5983,1.18,1.15444,5852.73,0.206313
Kepler-359 c,57.68802,0.0607789,0.292189,,,1.086,6248,
Kepler-211 c,6.04045,0.00711292,0.0649112,,,0.816,5123,
Kepler-967 b,13.22713379,0.0180364,0.103279,499,0.84,0.8,5178,-0.03
Kepler-1574 b,6.9424334,0.00709482,0.0726189,1275,1.06,1.08,5892,0.08
Kepler-1157 b,4.45743164,0.00392895,0.0483728,346,0.76,0.71,4679,0.05
Kepler-549 b,42.9495649,0.020474,0.230006,648,0.88,0.84,5360,-0.03
Kepler-1510 b,84.703921,0.0340314,0.399998,1615,1.19,1.28,6200,0.04
Kepler-1002 b,4.33642933,0.0126737,0.0556094,425,1.22,1.57,6144,0.04
Kepler-294 c,6.6264,0.0223552,0.0690438,,,0.976,5913,
Kepler-263 c,47.332773,0.019315,0.256083,,,0.785,5265,
Kepler-349 b,5.929778,0.0139923,0.0641159,,,0.927,5956,
Kepler-1563 b,3.43276598,0.00105753,0.0445351,547,1,0.99,5765,0.02
Kepler-1611 b,5.1762429,0.00136198,0.0573666,686,0.94,0.93,5605,0.01
Kepler-1284 b,0.66407381,0.00571923,0.0140554,852,0.84,0.79,5123,0.03
HD 200964 b,613.8,1.94873,1.64347,72.2022,1.57,3.80029,5082,-0.2
Kepler-706 b,41.40831347,1,0.223617,810,0.87,0.84,5394,-0.06
HD 147018 b,44.236,2.12711,0.238855,42.9553,0.927,1.05268,5441,0.1
HD 218566 b,225.7,0.212872,0.687282,28.5551,0.85,0.590728,4820,0.38
